±àÂë,ÏúÁ¿
10,1423.4999999899999
12,15068.58333326
13,981.0833333330002
15,5051.83333333
20,6358.5833333499995
21,658.5000000030001
22,9244.16666671
23,1827.83333333
30,3234.8333333300006
31,621.0833333329999
33,259.250000001
34,313.33333333300004
1001,1059.1666666659999
1004,265.666666666
1201,10440.16666663
1202,1025.83333333
1203,3421.1666666699994
1301,305.91666666699996
1308,502.333333332
1501,352.8333333329999
1505,1257.583333337
1517,374.25
1518,1122.499999999
1521,1123.416666674
2001,302.58333333400003
2005,427.41666666699996
2006,670.9166666660001
2007,407.416666668
2008,624.5833333339999
2009,535.583333334
2011,1129.83333333
2013,497.49999999999994
2014,774.499999999
2015,298.250000001
2105,287.583333333
2201,1707.58333333
2202,1730.8333333199998
2203,1521.7500000100001
2204,621.5833333300001
2205,1083.1666666639999
2206,797.249999994
2207,675.750000004
2208,269.249999999
2209,284.08333333300004
2210,283.75
2303,320.500000001
2307,243.08333333399997
3006,335.0
3013,454.833333334
3016,1017.583333332
3018,640.5833333339999
