±àÂë,ÏúÁ¿
12,31969
1201,22064
22,17386
20,12562
15,11296
1203,7758
30,7094
23,4656
1505,3283
2201,3201
2203,3096
2202,3086
10,2957
1518,2747
1521,2339
3016,2186
1001,2180
2011,2164
13,1949
2205,1900
1202,1844
2014,1701
2206,1659
2006,1559
3018,1386
2204,1114
31,1105
2008,1099
2207,1044
2009,1011
21,982
1308,968
2013,961
3013,883
2210,824
2303,796
2005,783
1517,763
3006,724
1501,723
11,720
1301,684
34,627
2007,596
2001,589
2002,572
2015,552
1004,550
2301,520
2208,509
2309,504
2305,487
33,485
2306,462
2307,457
1102,446
2209,438
2010,403
3007,394
3002,391
2105,378
2212,365
3008,343
2003,326
1519,314
1205,304
2311,276
2302,234
2316,234
1510,223
2012,219
2314,217
1302,215
3005,214
2304,213
1101,197
3114,185
2104,183
1508,179
3011,170
3010,155
3118,153
3117,150
2211,144
3319,144
3116,139
1513,127
2106,124
1516,121
2103,118
1515,113
2101,113
1503,111
1512,110
3415,108
3321,106
3407,101
3110,96
32,87
2317,87
2310,86
3119,86
3408,85
1005,83
1002,80
1306,79
1103,74
3402,65
3017,59
3323,59
3126,58
3431,52
1504,51
3014,47
3227,43
3322,43
3403,43
3112,42
2102,40
2312,37
3004,37
1099,35
2313,35
3320,35
14,34
3109,33
3003,32
1502,24
3001,23
2004,22
3427,21
3122,20
2107,19
3426,19
1511,17
3107,17
1403,16
3120,16
3217,16
3316,16
3417,16
3111,15
3009,14
3315,14
1006,13
1401,13
1509,13
1520,13
3121,13
3125,11
3015,10
3218,10
3325,10
3328,10
1507,9
3105,9
3406,9
3423,9
3424,9
1104,8
3012,8
3106,8
3326,8
3115,7
3313,7
3330,7
3409,7
3412,7
3413,7
3432,7
3113,6
3401,6
3102,5
3301,5
3410,5
1007,4
1514,4
2108,4
3108,4
3212,4
3213,4
3404,4
1404,3
3405,3
3421,3
1402,2
2308,2
3101,2
3104,2
3208,2
3215,2
3216,2
3303,2
3317,2
3416,2
3428,2
3429,2
3436,2
1399,1
3128,1
3311,1
3314,1
3414,1
3419,1
2315,0
